brand,archive_source_id,archive_model_name,archive_model_code,archive_model_url,archive_price_row_count,primary_source_kind,primary_has_launch_price,primary_has_trim_selector,primary_has_displacement,official_source_id,official_model_name,official_model_url,official_price_url,official_catalog_url,official_effective_text,supplement_match_status,supplement_match_reason,supplement_match_score
hyundai,archive_bobaedream_hyundai_index,EF쏘나타,398,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=398&level_no=&level2_no=&year_no=,27,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
hyundai,archive_bobaedream_hyundai_index,쏘나타3,399,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=399&level_no=&level2_no=&year_no=,13,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
hyundai,archive_bobaedream_hyundai_index,쏘나타2,400,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=400&level_no=&level2_no=&year_no=,10,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
hyundai,archive_bobaedream_hyundai_index,쏘나타,423,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=423&level_no=&level2_no=&year_no=,7,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
hyundai,archive_bobaedream_hyundai_index,아반떼 N,2408,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=2408&level_no=&level2_no=&year_no=,1,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
hyundai,archive_bobaedream_hyundai_index,쏠라티,1684,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=1684&level_no=&level2_no=&year_no=,23,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
hyundai,archive_bobaedream_hyundai_index,올 뉴 아반떼 [CN7],2295,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=2295&level_no=&level2_no=&year_no=,12,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
hyundai,archive_bobaedream_hyundai_index,올 뉴 아반떼 하이브리드 [CN7],2326,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=2326&level_no=&level2_no=&year_no=,3,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
hyundai,archive_bobaedream_hyundai_index,더 뉴 아반떼AD,1934,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=1934&level_no=&level2_no=&year_no=,16,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
hyundai,archive_bobaedream_hyundai_index,아반떼AD,1668,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=1668&level_no=&level2_no=&year_no=,48,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
hyundai,archive_bobaedream_hyundai_index,더 뉴 아반떼,1598,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=1598&level_no=&level2_no=&year_no=,36,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
hyundai,archive_bobaedream_hyundai_index,아반떼 쿠페,1557,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=1557&level_no=&level2_no=&year_no=,10,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
hyundai,archive_bobaedream_hyundai_index,아반떼MD,1254,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=1254&level_no=&level2_no=&year_no=,24,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
hyundai,archive_bobaedream_hyundai_index,아반떼 LPi 하이브리드,1070,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=1070&level_no=&level2_no=&year_no=,13,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
hyundai,archive_bobaedream_hyundai_index,아반떼HD,839,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=839&level_no=&level2_no=&year_no=,55,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
hyundai,archive_bobaedream_hyundai_index,뉴아반떼XD,570,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=570&level_no=&level2_no=&year_no=,61,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
