brand,model_name,trim_name,major_category,size_score,model_year,vehicle_age_years,color,mileage_km,price_manwon
hyundai,그랜저IG,프리미엄 스페셜,sedan,64.010283,2018,8.83,회색,63669.0,1799
kia,올 뉴 쏘렌토,노블레스,suv,66.305916,2017,9.17,회색,155071.0,1399
renault,SM6,RE,sedan,48.071979,2016,9.75,흰색,117472.0,830
renault,뉴 QM3,RE 시그니처,suv,3.751804,2019,6.83,흰색,99141.0,920
kgm,뉴 스타일 코란도 C,RX 최고급형,suv,44.372294,2017,9.17,흰색,135972.0,750
kia,올 뉴 K7,프레스티지,sedan,75.064267,2016,10.0,검정색,100903.0,1280
hyundai,코나,모던 초이스,suv,5.339105,2020,6.25,흰색,46942.0,1550
renault,SM6,LE,sedan,43.573265,2019,6.67,검정,85642.0,1050
hyundai,제네시스,로얄 VIP 팩,sedan,89.33162,2023,2.5,흰색,21554.0,6300
hyundai,그랜저IG,프리미엄 스페셜,sedan,64.010283,2018,8.33,흰색,188635.0,1480
hyundai,더 뉴 투싼,프리미엄,suv,51.803752,2022,4.08,회색,61620.0,2380
kia,더 뉴 K7,기본형,sedan,65.29563,2021,5.17,"파랑(남색,곤색)",92992.0,2800
kia,올 뉴 모닝 [JA],고급형,hatchback,22.797927,2018,7.42,흰색,82638.0,550
renault,SM3 네오,SE,sedan,20.694087,2018,7.83,흰색,117995.0,530
kia,K5,트렌디,sedan,28.984576,2023,2.75,검정,48100.0,1850
kia,더 뉴 모닝 [JA],프레스티지,hatchback,22.797927,2025,1.5,미색,7213.0,1680
kia,더 뉴 카니발,프레지던트,van,72.677596,2019,7.17,미색,63228.0,2190
hyundai,싼타페 더 프라임,익스클루시브,suv,60.38961,2016,10.08,"파랑(남색,곤색)",129700.0,1250
chevrolet,더 뉴 트랙스,LT 코어,suv,23.593074,2019,7.42,흰색,32833.0,1030
